标识,中文,英文,原始翻译,比较
qingShuRuYongDou,请输入用逗号分割的整数,"Enter integers separated with commas (,).",Please enter an integer separated by a comma,0
yongHuMingZhiNeng,"用户名只能是汉字,数字,字母,下划线组合","Username must be a combination of Chinese characters, numbers, letters, and underscores.","User name can only be a combination of Chinese characters, numbers, letters, underscores",0
yongHuMingChangDu,用户名长度最大支持32位,Username can be up to 32 characters in length.,The maximum length of the user name supports 32 bits,0
zuiDuoZhiChiWei,最多支持128位字符(中文不可超过64位),It can be up to 128 characters in length (up to 64 Chinese characters).,Support up to 128-bit characters (Chinese can not exceed 64-bit),0
biTianXiangBuNeng,必填项不能为空,Required fields cannot be empty.,Required items can not be empty,0
qingShuRuYiH,请输入以http或https开头的正确网址,"Enter a correct URL starting with ""http"" or ""https"".",Please enter the correct URL starting with http or https,0
weiDeShuZiZi,5-12位的数字、字母组合,A combination of 5 to 12 numbers and letters,"5-12 bits of numbers, letters combination",0
weiShuZiZiMu2,5-20位数字、字母或下划线组合,"A combination of 5 to 20 numbers, letters, or underscores","5-20 digits, letters or underscore combination",0
weiShuZiZiMu3,5-20位数字、字母组合,A combination of 5 to 20 numbers and letters,"5-20 digits, letter combination",0
ziMuKaiTouZhi,字母开头，只能由数字、字母_.组成,It must start with a letter and only contain numbers and letters.,"Starting with a letter, can only consist of numbers, letters _. Combination",0
qingShuRuWeiDe2,请输入6-20位的密码,Enter a password of 6 to 20 characters.,Please enter a password of 6-20 digits,0
qingShuRuZhengQue,请输入正确的IP地址,Enter a correct IP address.,Please enter the correct IP address,0
yinHangKaBiXu,银行卡必须是15到19位的数字,Bank card must be a number of 15 to 19 digits.,Bank card must be 15 to 19 digits,0
ninShuRuDeZhi,您输入的支付宝账号有误,Incorrect Alipay account.,You have entered the wrong paypal account number,0
feiKaiTouDeWei,非0开头的5-15位数字,"A number of 5 to 15 digits not starting with ""0""",5-15 digits that do not start with 0,0
weiDeShuZiZi2,6-20位的数字、字母或下划线,"6 to 20 numbers, letters, or underscores","6-20 digits of numbers, letters or underscores",0
tuPianGeShiBu,图片格式不正确,Incorrect image format.,The image format is not correct,0
buNengShuRuTe,不能输入特殊字符,Unable to enter a special character.,No special characters can be entered,0
baoHanLiangWeiXiao,包含两位小数,It contains 2 decimal places.,Include two decimal places,0
qingShuRuZhengQue2,请输入正确的电话号码,Enter a correct phone No.,Please enter the correct phone number,0
qingShuRuZhengQue3,请输入正确的邮箱地址,Enter the correct email address.,Please enter the correct email address,0
qingShuRuZhongWen,请输入中文,Enter Chinese text.,Please enter Chinese,0
qingShuRuDaYu,请输入大于0的正整数,Enter a positive integer greater than 0.,Please enter a positive integer greater than 0,0
qingShuRuZhengZheng,请输入正整数,Enter a positive integer.,Please enter a positive integer,0
qingShuRuZhengShu2,"请输入正数,且小数点不能大于两位",Enter a positive number of less than or equal to 2 decimal places.,Please enter a positive number with no more than two decimal places,0
qingShuRuShuZi,请输入数字,Enter a number.,Please enter a number,0
jianYanXiangWeiKong,检验项为空,Verification item is empty.,The test item is empty,0
zuiDuoZhiChiR,最多支持{val1}位字符(中文不可超过{val2}位),It can be up to {val1} characters in length (up to {val2} Chinese characters).,Support up to {val1} characters (Chinese cannot exceed {val2} characters),0
henYiHanZuiDuo,很遗憾！最多支持输入{val1}个{val2}！,What a pity. You can enter up to {val1} {val2}.,Sorry! You can enter up to {val1} and {val2}!,0
ninShuRuDeT,您输入的{val1}有重复，重复{val2}为：\r\n{val3}\r\n{val4}),"Your entered {val1} is duplicate, with {val2} duplicate at \r\n{val3}\r\n{val4}).","You have entered duplicate {val1}, duplicate {val2} as: \r\n{val3}\r\n{val4})",0
zhangHao,账号,Account,Account Number,0
gengXinNeiRong,更新内容,Updates,Update content,0
qingShuRuNeiRong,请输入内容,Enter the content.,Please enter the content,0
rOWDA,{val1},{val1},,0
qingXianXuanZeShou,请先选择手机端类型！,Select a mobile client type first.,Please select the mobile type first!,0
gengXinNeiRongBu,更新内容不能为空,Updated content cannot be empty.,Update content cannot be empty,0
shuJuJiaZaiZhong,数据加载中...,Loading...,Data is loading...,0
zhuDanShu,注单数,Number of betslips,Note the number of orders,0
weiJieSuan,未结算,Unsettled,Not settled,0
zhuanChuShiJian,转出时间,Transferred out at,Transfer out time,0
zhuanRuShiJian,转入时间,Transferred in at,Transfer in time,0
zhuanChuJinE,转出金额,Transferred-out amount,Transfer out amount,0
zhuanRuJinE,转入金额,Transferred-in amount,Transfer in amount,0
zhuanZhangPingTai,转账平台,Transfer platform,Transfer Platform,1
sheZhiMeiGePing,设置每个平台单次转出 - 转入的差额，设置为0表示不需要监控,"Set the difference between a single transfer-out and transfer-in on each platform. A ""0"" value means that no monitoring is required.","Set the difference of single transfer out - transfer in per platform, set to 0 means no monitoring is needed",0
jianKong,监控,Monitor,Monitoring,0
chuLiJianKongHui,处理监控会员（{val1}）,Process monitored member ({val1}),Process monitored members ({val1}),0
jianKongChengGong,监控成功！,Monitored.,Monitor successfully!,0
xinZengXuNiDai,新增虚拟代理,Create virtual agent,Add virtual agent,0
bianJiXuNiDai,编辑虚拟代理,Edit virtual agent,Edit virtual agent,1
yunXuJinRuS,允许进入ST彩票,Allow access to ST lottery,Allow access to ST lottery,1
qingShuRuChuShi,请输入初始化金额,Enter the initial amount.,Please enter the initialization amount,0
chuShiHuaJinE,初始化金额,Initial amount,Initialize amount,0
qingXuanZeYunXu,请选择允许转账平台,Select a platform to allow transfer on.,Please select the allow transfer platform,0
yunXuZhuanZhangPing,允许转账平台,Platform to allow transfer on,Allow transfer platform,0
qingXuanZeXuNi,请选择虚拟代理,Select a virtual agent.,Please select virtual agent,0
qingShuRuXuNi,请输入虚拟会员,Enter a virtual member.,Please enter the virtual member,0
xuNiHuiYuan,虚拟会员,Virtual member,Virtual Member,1
xinZengXuNiHui,新增虚拟会员,Create virtual member,Add Virtual Member,0
bianJiXuNiHui,编辑虚拟会员,Edit virtual member,Edit Virtual Member,1
suCaiTuPian,素材图片,Material image,Material Image,1
qingShuRuSuCai,请输入素材尺寸,Enter the material dimensions.,Please enter the size of the material,0
suCaiChiCun,素材尺寸,Material dimensions,Size of material,0
suCaiLeiXing,素材类型,Material type,Material type,1
youXiaoQi,有效期,Validity,Expiration date,0
suCaiBiaoTi,素材标题,Material title,Title,0
tianJiaSuCai,添加素材,Add material,Add material,1
chiCun,尺寸,Dimensions,Size,0
suCai,素材,Material,Material,1
queDingYaoShanChu,确定要删除此素材吗？,Confirm to delete this material?,Are you sure you want to delete this material?,0
shanChuSuCai,删除素材,Delete material,Delete clip,0
tianJiaChengGong,添加成功！,Added.,Added successfully!,0
daiLiHeZuoLian,代理合作联系方式,Agent contact info for partnership,Agent Cooperation Contact,0
qingXiuGaiShuJu,请修改数据!,Modify the data.,Please modify the data!,0
lunPanPeiZhiBao,轮盘配置保存成功~,Roulette configuration saved.,Roulette configuration saved successfully~,0
qingTianXieLianJie,请填写链接地址,Enter the link URL.,Please fill in the link address,0
cDuanLianJieShang,C端链接上传,C end link upload,C-side link upload,0
dianJiShangChuanTu,点击上传图片,Click to upload image,Click to upload image,1
qingShangChuanTuBiao,请上传图标,Upload an icon.,Please upload the icon,0
cDuanTuBiaoShang,C端图标上传,C end icon upload,C-side icon upload,0
qingXuanZeKaiQi,请选择开启时间!,Select a start time.,Please select the opening time!,0
qingXuanZeLunPan,请选择轮盘开启时间,Select a time to start roulette.,Please select the opening time of the roulette wheel,0
lunPanKaiQiShi,轮盘开启时间,Roulette started at,Roulette opening time,0
quanZhong,权重,Weight,Weighting,0
zuiGao,最高 20,Max 20,Maximum 20,0
zuiXiao,最小 0,Min 0,Min 0,1
zuiXiao2,最小 1,Min 1,Min 1,1
jiaZhiJiangXu,价值降序,Descend by value,Value descending,0
shiJianJiangXu,时间降序,Descend by time,Time descending,0
paiXuFangShi,排序方式,Sorting method,Sort by,0
zhenShuJuShuLiang,真数据数量,True data size,Number of true data,0
jiaShuJuShuLiang,假数据数量,False data size,Number of Fake Data,0
zhanShiShuJuShu,展示数据数量,Display data size,Number of display data,0
xiaXian,下限,Floor,Lower limit,0
buNengChaoGuoJiang,不能超过奖品的总权重,Unable to exceed the total weight of prize.,Cannot exceed the total weight of the prize,0
shangXian,上限,Cap,Upper limit,0
shengChengXiaoXiShu,生成消息数量,Number of generated messages,Number of generated messages,1
bangDingDeHuoDong,绑定的活动,Bound activities,Bound activities,1
xuNiXiaoXiShe,虚拟消息设定,Virtual message settings,Virtual message settings,1
xinZengXuNiXiao,新增虚拟消息,Create virtual message,Adding virtual messages,0
bianJiXuNiXiao,编辑虚拟消息,Edit virtual message,Edit virtual message,1
shiLiDEF,示例：{val1} \n\n$time$: 表示中奖时间； $username$: 中奖用户名； $prize$: 奖品名称。,Example: {val1} \n\n$time$: time of winning; $username$: winner's username; $prize$: prize name.,Example: {val1} \n\n$time$: indicates the winning time; $username$: the winning username; $prize$: the prize name.,0
tIMEGong,$time$ 恭喜 $username$ 获得 $prize$,$time$ congratulated $username$ on winning $prize$.,$time$ Congratulate $username$ on getting $prize$,0
buNengDaYuShang,不能大于上限,Unable to exceed the cap.,Cannot be greater than the upper limit,0
buNengXiaoYuXia,不能小于下限,Unable to exceed the floor.,Cannot be less than the lower limit,0
zhuanPanHuoDong,9996转盘活动,9996 spin activity,9996 Spinning Event,0
lINET,"{val1},请选择奖品","{val1}, select a prize.","{val1}, please select prize",0
lINET2,"{val1},请填写取款倍数","{val1}, enter the wagering requirement.","{val1}, please fill in the withdrawal multiplier",0
lINET3,"{val1},请填写金额",{val1}. Enter the amount.,"{val1},Please fill in the amount",0
lINET4,"{val1},请选择奖品类型","{val1}, select a prize type.","{val1}, please select the prize type",0
pRETE,{val1}第{val2}行,{val1} line {val2},{val1} line {val2},1
lunPanWeiZhiL,"轮盘位置:{val1},请输入奖品名称",Roulette position: {val1}. Enter the prize name.,"Position of the wheel: {val1}, please enter the name of the prize",0
diINDE,第{val1}行,Row {val1},Row {val1},1
wanJiaBiaoQianPai,"玩家标签排序:{val1},请选择标签",Sort players by tag: {val1}. Select a tag.,"Player tag sorting:{val1},please select tag",0
huoDongCanYuTiao,"活动参与条件:{val1},请输入每日次数限制",Participation criteria: {val1}. Enter the daily limits of times.,"Conditions of participation:{val1},Please enter the daily limit",0
huoDongCanYuTiao2,"活动参与条件:{val1},请输入抽奖次数",Participation criteria: {val1}. Enter the number of lucky draws.,"Conditions of participation:{val1},please enter the number of times you want to win",0
huoDongCanYuTiao3,"活动参与条件:{val1},请输入数值",Participation criteria: {val1}. Enter a value.,"Condition:{val1},Please enter the value",0
huoDongCanYuTiao4,"活动参与条件:{val1},请选择抽奖抽奖设定",Participation criteria: {val1}. Select the lucky draw settings.,"Condition of participation:{val1},Please select the lottery draw setting",0
huoDongCanYuTiao5,"活动参与条件:{val1},请选择抽奖条件","Participation criteria: {val1}, select the lucky draw conditions.","Conditions of participation:{val1},Please select the lottery conditions",0
qingXuanZeXianShi,请选择限时开启时间范围,Select the available time range.,Please select the time range for the limited time opening,0
wanJiaBiaoQian,玩家标签,Player tag,Player Tag,1
diNUMDeng,第{val1}等级,Level {val1},Level {val1},1
jiangChi,奖池,Prize pool,Prize pool,1
tuPian,图片（355*555）,Image (355*555),Image (355*555),1
jiangPinWeiZhi,奖品位置,Prize position,Prize Location,0
danCiChongZhiMei,单次充值每日限1次,Limited to once daily per single top-up,Single top-up limited to 1 time per day,0
zhuBoMeiRiXian,主播每日限1次,Limited to once daily per streamer,Host limited to 1 time per day,0
dengLuMeiRiXian,登录每日限1次,Limited to once daily for login,Login limit 1 time per day,0
meiRiCiShuXian,每日次数限制,Daily limit of times,Daily limit of times,1
buKeWei,不可为0,It cannot be 0.,Cannot be 0,0
chouJiangCiShu,抽奖次数,Number of lucky draws,Number of lucky draws,1
chouJiangTiaoJianEr,抽奖条件二级设定,Secondary settings of lucky draw criteria,Secondary setting of lottery conditions,0
chouJiangTiaoJian,抽奖条件,Lucky draw criteria,Lucky Draw Conditions,0
lunPanWeiZhi,轮盘位置,Roulette position,Roulette position,1
wanJiaBiaoQianPai,玩家标签排序,Player tag ranking,Player Tag Sort,0
huoDongCanYuTiao,活动参与条件,Participation criteria,Event participation conditions,0
gongTOTA,共 {val1}条记录， 第 {val2} / {val3} 页,{val1} records in total. Page {val2}/{val3},"Total {val1} records, Page {val2} / {val3}",0
tuiHui,退回,Back,Return,0
tianJiaBeiZhu,添加备注,Add note,Add a note,0
fengKongShenHeShi,风控审核时间,Risk control review time,Review Time,0
chuKuanKaXinXi,出款卡信息,Payout card info,Debit card information,0
chuKuanShangHuChong,出款商户/充值会员,Payout merchant/top-up member,Merchant / Member,0
huiYuanXingMing,会员姓名,Member name,Member Name,1
chuKuanShiJian,出款时间,Payout time,Withdrawal time,0
tiXianBiZhong,提现币种,Withdrawal currency,Withdrawal Currency,1
xuanZeChuKuanShang,选择出款商户/充值会员,Select a payout merchant/top-up member.,Select the banker/top-up member,0
xuanZeDingDanZhuang,选择订单状态,Select an order status.,Select order status,0
shouXuFei,手续费：,Service fee:,Handling fee.,0
daoZhangJinE,到账金额：,Amount received:,Amount to be paid.,0
tiXianJinE,提现金额：,Withdrawal amount:,Withdraw cash amount.,0
cOINI,{val1}汇总：,{val1} summary:,{val1} Summary.,0
sanFangShouDongChu,三方手动出款,Third-party manual payout,Three-party manual disbursement,0
shiJianNeiRong,事件内容,Event content,Event content,1
jiaoYiHaXi,交易哈希,Transaction hash,Transaction Hash,1
chaiDanGuanLianHao,拆单关联号,Association number of split order,Split Order Association Number,0
ziDongChuKuan,自动出款,Auto payout,Automatic payment,0
renGongDaKuan,人工打款,Manual payment,Manual Payment,1
queRenShouKuanShi,确认收款时间,Receipt confirmed at,Receipt Confirmation Time,0
queRenFuKuanShi,确认付款时间,Payment confirmed at,Payment Confirmation Time,0
dingDanShengChengShi,订单生成时间,Order generated at,Order generation time,0
tiXianFaQiShi,提现发起时间,Withdrawal initiated at,Withdrawal initiation time,0
fenDanShiJian,分单时间,Order assigned at,Order splitting time,0
fenDanRen,分单人,Order assigned by,Order Splitter,0
chuLiShiChang,处理时长,Processing duration,Processing time,0
chuKuanRen,出款人,Paid-out by,Cashier,0
tiXianChuKuanShi,提现出款时间,Withdrawal payout time,Withdrawal Time,0
dDTianHH,{val1}天{val2}小时{val3}分{val4}秒,{val1} days {val2} hours {val3} minutes {val4} seconds,{val1}days{val2}hours{val3}minutes{val4}seconds,0
hHXiaoShiM,{val1}小时{val2}分{val3}秒,{val1} hours {val2} minutes {val3} seconds,{val1}hours{val2}minutes{val3}seconds,0
mMFenSS,{val1}分{val2}秒,{val1} minutes {val2} seconds,{val1}minutes{val2}seconds,0
tiXianHuiYuanZhang,提现会员账号,Member account for withdrawal,Withdrawal Member Account,0
dDTianHH2,{val1}天{val2}小时{val3}分{val4}秒,{val1} days {val2} hours {val3} minutes {val4} seconds,{val1}day{val2}hour{val3}minutes{val4}seconds,0
hHXiaoShiM2,{val1}小时{val2}分{val3}秒,{val1} hours {val2} minutes {val3} seconds,{val1}hours{val2}minutes{val3}seconds,0
mMFenSS2,{val1}分{val2}秒,{val1} minutes {val2} seconds,{val1}minutes{val2}seconds,0
tiXianDingDanHao,提现订单号,Withdrawal order number,Withdrawal order number,1
qiangZhiChengGong,强制成功,Forced successfully,Forced Success,0
xiuGaiTianJiaBei,修改(添加) 备注,Modify (add) remarks,Modify(Add) Remarks,0
tiXianShenQing,提现申请,Withdrawal request,Withdrawal request,1
dai,代,Agent,behalf of,0
hui,会,Member,Agent,0
daiLiTiXian,代理提现,Agent withdrawal,Agent Withdrawal,1
daETiXian,大额提现,Large cash withdrawal,Large amount of withdrawals,0
puTongTiXian,普通提现,Ordinary withdrawal,Normal Withdrawal,0
geZhi,搁置,Suspend,On hold,0
buCunZaiDeZhang,不存在的账号：{val1},Non-existing account: {val1},Non-existing account number: {val1},0
yiJingCunZaiFen,已经存在分单账号：{val1},Existing assignment account: {val1},Already existing sub-order account number: {val1},0
piLiangShanChu,批量删除,Batch delete,Bulk delete,0
piLiangGuanBi,批量关闭,Batch disable,Batch Close,0
piLiangKaiQi,批量开启,Batch enable,Batch on,0
tianJiaFenDanZhang,,,,1
sanFangChuKuanShang,三方出款商户,Third-party payout merchant,Three party disbursement merchant,0
wanBan,晚班,Evening shift,Evening shift,1
zhongBan,中班,Afternoon shift,Mid-shift,0
zaoBan,早班,Morning shift,Early shift,0
banCi,班次,Shift,Shifts,0
guanBiFenDan,关闭分单,Disable assignment,Close Billing,0
kaiQiFenDan,开启分单,Enable assignment,Open Order,0
shanChuFenDanZhang,删除分单账户,Delete assignment account,Delete a split account,0
buZhiChiYuE,不支持余额查询,Balance query not supported,Balance inquiry is not supported,0
zhaKanChuKuanShang,查看出款商户,View payout merchant,View Outgoing Merchant,0
zhaKanTiaoJian,查看条件,View requirements,View Conditions,0
tianJiaFenDanZhang2,添加分单账户,Add assignment account,Add a sub-order account,0
jianSuoDaoYiCun,检索到已存在的账户名：,Existing account name found:,Retrieve the name of an existing account.,0
qingShuRuHuiYuan,请输入会员账户，多个账户请用，隔开,"Enter member accounts and separate them with commas (,).","Please enter member account, multiple accounts please use, separated",0
yongHuMingBuNeng,用户名不能为空!,Username cannot be empty.,Username cannot be empty!,0
tiaoJianMingCheng,条件名称,Condition name,Condition Name,1
sanFangZiDongChu,三方自动出款,Third-party auto payout,Three party automatic payment,0
queRenShanChuFen,确认删除分单账户吗 ?,Confirm to delete the assignment account?,Confirm to delete the splitting account ?,0
kaiQiFenDanGong,"开启分单功能后，系统将根据配置自动分单给选中的账户,确认开启吗 ?","Once the assignment feature is enabled, the system will automatically assign orders to the selected accounts according to the configuration. Confirm to enable it?","If you turn on the order splitting function, the system will automatically split the order to the selected account according to the configuration, confirm to turn on ?",0
guanBiGaiGongNeng,"关闭该功能后，系统将不会再给选中的账户进行自动分单,确认关闭吗 ?","Once this feature is disabled, the system won't automatically assign orders to the selected accounts. Confirm to disable it?","After closing this feature, the system will not automatically bill the selected account, confirm to close ?",0
fenDanSheZhiZhang,分单设置账户,Assignment settings account,Order splitting setting account,0
beiZhuBuNengWei,备注不能为空,Remarks cannot be empty.,Comments cannot be empty,0
tongBuSanFangYu,同步三方余额,Sync third-party balance,Synchronize the balance of three parties,0
chuKuanShangHu,出款商户：,Payout merchant:,Outgoing merchant.,0
qingXuanZeFenDan,请选择分单条件,Select an assignment condition.,Please select the splitting conditions,0
fenDanTiaoJian,分单条件：,Assignment condition:,Split order conditions.,0
qingXuanZeBanCi,请选择班次,Select a shift.,Please select shift,0
banCi2,班次：,Shift:,Shift.,0
fenDanZhangHu,分单账户：,Assignment account:,Billing account.,0
fenDanSheZhi,分单设置,Assignment settings,Split Order Settings,0
sanFangZhangHuYu,三方账户余额,Third-party account balance,Balance of three party account,0
xiuGaiRen,修改人,Modified by,Modified by,1
xiuGaiShiJian,修改时间,Modification time,Modify Time,0
tianJiaRen,添加人,Added by,Adder,0
tianJiaShiJian,添加时间,Added at,Add time,0
sanFangChuKuanShang2,三方出款商户数,Third-party payout merchants,Number of three-party outgoing merchants,0
cONDI,{val1}等{val2}个条件,"{val1} and others, totaling {val2} conditions.",{val1} et {val2} conditions,0
tiaoJian,条件,Condition,Conditions,0
ziDongTiXianShe,自动提现设置,Auto withdrawal settings,Automatic withdrawal settings,0
tiXianFenDanShe,提现分单设置,Withdrawal assignment settings,Withdrawal sub-order settings,0
xuanZeHuiYuanCeng,选择会员层级,Select a member level.,Select membership level,0
chuKuanLeiXing,出款类型,Payout type,Withdrawal type,0
xuanZeYingYongCeng,选择应用层级,Select an app level.,Select application level,0
qingShuRuTiaoJian,请输入条件名,Enter a condition name.,Please enter the condition name,0
tiaoJianMing,条件名,Condition name,Condition Name,1
tianJiaFenDanTiao,添加分单条件,Add assignment condition,Add splitting conditions,0
tiXianFenDanTiao,提现分单条件设置修改,Modification to withdrawal assignment condition settings,Withdrawal splitting condition setting modification,0
queDingYaoShanChu,确定要删除此提现分单设置？,Confirm to delete this withdrawal assignment setting?,Are you sure you want to delete this withdrawal slip setting?,0
shanChuTiXianFen,删除提现分单（{val1}）,Delete withdrawal assignment ({val1}),Delete the withdrawal sub-order ({val1}),0
xiuGai,修改,Modify,Modify,1
jinEQuJianZhi,金额区间值,Amount range,Amount interval value,0
rOWDA,{val1}等{val2}个层级,"{val1} and others, totaling {val2} levels.",{val1} et {val2} levels,0
mingCheng,名称,Name,Name,1
fenDanTiaoJianShe,分单条件设置,Assignment condition settings,Split order condition setting,0
qingXuanZeCengJi,请选择层级类型,Select a level type.,Please select the level type,0
cengJiLeiXing,层级类型：,Level type:,Tier type.,0
zuiDaJinE,最大金额,Max amount,Max Amount,1
qingShuRuZuiDa,请输入最大金额,Enter a maximum amount.,Please enter the maximum amount,0
zuiXiaoJinE,最小金额,Minimum amount,Minimum amount,1
qingShuRuZuiXiao,请输入最小金额,Enter a minimum amount.,Please enter the minimum amount,0
jinEQuJian,金额区间：,Amount range:,Amount range.,0
shouDongChuKuan,手动出款,Manual payout,Manual Withdrawal,0
qingXuanZeChuKuan,请选择出款方式,Select a payout method.,Please select the withdrawal method,0
chuKuanFangShi,出款方式：,Payout method:,Disbursement method.,0
qingShuRuTiaoJian2,请输入条件名称,Enter a condition name.,Please enter the name of the condition,0
tiaoJianMingCheng2,条件名称：,Condition name:,Condition Name.,0
cengJiSheZhi,层级设置：,Level settings:,Tier setting.,0
zhaKanCengJiShe,查看层级设置,View level settings,View tier settings,0
qingXuanZeWanBan,请选择晚班结束时间,Select an evening shift end time.,Please select the end time of the evening shift,0
qingXuanZeWanBan2,请选择晚班开始时间,Select an evening shift start time.,Please select the evening class start time,0
wanBan2,晚班：,Evening shift:,Evening Class.,0
qingXuanZeZhongBan,请选择中班结束时间,Select an afternoon shift end time.,Please select the end time of middle class,0
qingXuanZeZhongBan2,请选择中班开始时间,Select an afternoon shift start time.,Please select the middle class start time,0
zhongBan2,中班：,Afternoon shift:,Middle Class.,0
qingXuanZeZaoBan,请选择早班结束时间,Select a morning shift end time.,Please select the end time of early shift,0
qingXuanZeZaoBan2,请选择早班开始时间,Select a morning shift start time.,Please select the start time of the morning shift,0
zaoBan2,早班：,Morning shift:,Early shift.,0
fenDanShiJianQu,分单时间区间设置（精确到秒),Assignment interval setting (down to second),Split order time interval setting (accurate to the second),0
queDingYaoShanChu2,确定要删除此自动提现设置？,Confirm to delete this auto withdrawal setting?,Are you sure you want to delete this automatic withdrawal setting?,0
shanChuZiDongTi,删除自动提现（{val1}）,Delete auto withdrawal ({val1}),Delete Auto Withdrawal ({val1}),1
ziDongChuKuanTiao,自动出款条件设置,Auto payout condition settings,Automatic withdrawal conditions settings,0
chuKuanShangHuShu,出款商户数,Number of payout merchants,Number of outgoing merchants,0
qingXuanZeJinE,请选择金额区间,Select an amount interval.,Please select the amount range,0
qingXuanZeSanFang,请选择三方出款商户,Select a third-party payout merchant.,Please select a three-party payout merchant,0
sanFangChuKuanShang3,三方出款商户：,Third-party payout merchant:,Three-party lender.,0
queDingYaoShanChu3,确定要删除此自动出款设置吗？,Confirm to delete this auto payout setting?,Are you sure you want to remove this automatic withdrawal setting?,0
tongBuYuE,同步余额,Sync balance,Sync Balance,1
ziDongChuKuanTing,自动出款停止限额,Auto payout stop limit,Automatic withdrawal stop limit,0
tiXianDingDanJin,提现订单金额,Withdrawal order amount,Withdrawal order amount,1
chuKuanJiLu,出款记录,Payout history,Withdrawal History,0
xuanZeChuKuanShang,选择出款商户,Select a payout merchant.,Select a merchant to withdraw from,0
tiXianShiJianDuan,提现时间段,Withdrawal period,Withdrawal time period,0
queDingQiangZhiShi,确定强制失败吗？,Confirm to force fail it?,Is it sure that the force failed?,0
qiangZhiShiBai,强制失败,Force fail,Forced failure,0
zhuDuiYuKuaiSu,注：对于快速转卡的提现方式必须要上传转账图片,Note: You must upload the transfer image for withdrawals via quick card transfer.,Note: For fast card transfer withdrawal methods you must upload a transfer image,0
dongTaiTuPian,动态图片,Dynamic image,Motion picture,0
xuanZeShangChuanDe,选择上传的图片格式有误，请重新选择,Wrong image format. Choose again.,Please select the wrong format for the image you want to upload.,0
jiSuZhuanKaDe,急速转卡的提现方式必须要上传转账图片,You must upload the transfer image for withdrawals via express card transfer.,You must upload a picture of the transfer for the Quick Transfer method,0
tuPianShangChuanCuo,图片上传错误,Image upload error,Image upload error,1
juJueYuanYin,拒绝原因,Reason for rejection,Reason for rejection,1
uSDTShu,USDT数量,USDT amount,USDT quantity,0
canKaoHuiLu,参考汇率,Reference exchange rate,Reference exchange rate,1
qingShuRuChuKuan,请输入出款账户信息,Enter the payout account information.,Please enter your account information,0
chuKuanZhangHuXin,出款账户信息,Payout account info,Withdrawal Account Information,0
qingShuRuChuKuan2,请输入出款账号,Enter a payout account.,Please enter the withdrawal account number,0
chuKuanZhangHao,出款账号,Payout account,Withdrawal Account Number,0
kaiHuHangDiZhi,开户行地址/钱包地址,Bank address/wallet address,Bank address/wallet address,1
yinHangKaHaoXie,银行卡号/协议类型,Bank card number/protocol type,Bank Card Number / Agreement Type,0
yinHangMingChengU,银行名称/USDT提现,Bank name/USDT withdrawal,Bank Name/USDT Withdrawal,1
queRenChuKuan,确认出款,Confirm payout,Confirm Withdrawal,0
juJueChuKuan,拒绝出款,Reject payout,Deny Withdrawal,0
qingShuRuChuKuan3,请输入出款卡姓名,Enter the card holder's name for the payout.,Please enter the name of your debit card,0
chuKuanKaYinHang,出款卡银行,Payout bank,Debit Card Bank,0
chuKuanKaXingMing,出款卡姓名,Payout card holder's name,Debit Card Name,0
chuKuanZhiFuShang,出款支付商户,Payout merchant,Payment Merchant,0
shuRuFanHuiZhong,输入返回中心钱包的金额,Enter the amount to be returned to the main wallet.,Enter the amount returned to the central wallet,0
zhuQuanBuTuiHui,注：全部退回，订单状态为失败；部分退回，提现状态为成功,"Note: If the amount is returned in full, the order status is ""Failed"". If the amount is returned partially, the withdrawal status is ""Successful"".","Note: If all the money is returned, the order status will be failed; if part of the money is returned, the withdrawal status will be successful",0
buFenTuiHui,部分退回,Return partially,Partial refund,0
quanBuTuiHui,全部退回,Return in full,Return all,0
zhiNengShuRuZheng,只能输入正整数且输入的退回金额不能大于提现金额,Only a positive integer is allowed. The amount to return cannot exceed the withdrawal amount.,Only positive integers can be entered and the returned amount cannot be greater than the withdrawal amount,0
shangChuanTuPianShi,上传图片失败,Failed to upload image,Upload image failure,0
zuiDuoZhiNengShang,最多只能上传3张图片,Up to 3 images can be uploaded.,Only 3 pictures can be uploaded at most,0
shuRuHuiYuanXing,输入会员姓名,Enter a member name.,Enter member name,0
piLiangFenDan,批量分单,Batch assign,Batch order distribution,0
piLiangHuiShou,批量回收,Batch recover,Batch recovery,0
xuanZeFenDanZhuang,选择分单状态,Select an assignment status.,Select order status,0
fenDanZhuangTai,分单状态,Order assignment status,Order Status,0
weiFenDan,未分单,Not assigned,No order,0
yiFenDan,已分单,Assigned,Sorted,0
renGongFenDan,人工分单,Assign manually,Manually Sorted,0
renGongHuiShou,人工回收,Recover manually,Manually collected,0
queRenQiangZhiCheng,确认强制成功吗？,Force succeed it?,Confirm mandatory success?,0
zhuYiHuiShouDe,注3：已回收的提现单，则不可重复回收,Note 3: Recovered withdrawal orders cannot be recovered again.,"Note 3: If the withdrawal order has been collected, it cannot be collected again.",0
zhuTiXianDanZhuang,注2：提现单状态为处理中时候，则不可进行回收,Note 2: Withdrawal orders in the Processing status cannot be recovered.,"Note 2：When the status of the withdrawal order is in process, it cannot be recovered.",0
zhuYiHuiShouDe2,注1：已回收的提现单“分单给/分单时间”显示为空,"Note 1: The ""Assign to/assignment time"" of recovered withdrawal orders is empty.","Note 1: The ""Split Order to/Split Time"" display of the recovered withdrawal order is empty.",0
